District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Butaganzwa_Titi,-3.6713123,30.147673,"-3.6713123,30.147673"
Matongo_Ruvumu Kay,-2.9882757,29.556942,"-2.9882757,29.556942"
Rango_Nyabibuye II,-3.1091667,29.7656868,"-3.1091667,29.7656868"
Rango_Musagara I,-3.1976249,29.7819732,"-3.1976249,29.7819732"
Butaganzwa_Gakonko,-3.6445317,30.1248683,"-3.6445317,30.1248683"
Butaganzwa_Bigera,-3.6196555,30.1499025,"-3.6196555,30.1499025"
Bweru_Kinama,-3.4603411,30.4993368,"-3.4603411,30.4993368"
Gihogazi_Mushikanwa,-3.1308414,29.9194503,"-3.1308414,29.9194503"
Nyabikere_Butwe,-3.2524204,30.0732066,"-3.2524204,30.0732066"
Gitaramuka_Ngayane,-2.9999969,30.139315,"-2.9999969,30.139315"
Matongo_Busambo,-2.9810839,29.5655661,"-2.9810839,29.5655661"
Gitaramuka_Ntunda,-2.9856116,30.1521351,"-2.9856116,30.1521351"
Gihogazi_Gihogazi,-3.1618507,29.9809187,"-3.1618507,29.9809187"
Matongo_Buziraguhindwa,-2.9628054,29.5652194,"-2.9628054,29.5652194"
Gitaramuka_Nyaruhinda II,-2.9637271,30.2287397,"-2.9637271,30.2287397"
Gitaramuka_Nyaruhinda,-2.9638418,30.2287802,"-2.9638418,30.2287802"
Ruyigi_Gisoro,-3.3980814,30.3511818,"-3.3980814,30.3511818"
Ngozi_Kinyana,-2.8258001,29.6829416,"-2.8258001,29.6829416"
Mwumba_Mihigo,-2.8519346,29.7465892,"-2.8519346,29.7465892"
Nyabikere_Taba coop,-3.2882083,30.1514322,"-3.2882083,30.1514322"
Nyabikere_Ruhuma,-3.2619301,30.143871,"-3.2619301,30.143871"
Nyabikere_Gitibu,-3.2757972,30.1529553,"-3.2757972,30.1529553"
Kabarore_Songore,-2.8500852,29.6250086,"-2.8500852,29.6250086"
Mwumba_Gasegerwa,-2.8272241,29.8732895,"-2.8272241,29.8732895"
Bweru_Murehe,-3.4611086,30.5155182,"-3.4611086,30.5155182"
Bweru_Gisuru,-3.4500427,30.5106834,"-3.4500427,30.5106834"
Gahombo_Mbirizi,-2.9654831,29.6948418,"-2.9654831,29.6948418"
Makebuko_Buhanga,-3.6520456,29.9959778,"-3.6520456,29.9959778"
Nyabikere_Ruvumu,-3.2500266,30.1924192,"-3.2500266,30.1924192"
Nyabikere_Mazita coop,-3.218129,30.1768602,"-3.218129,30.1768602"
Nyabikere_Gatonde coop,-3.249978,30.1922415,"-3.249978,30.1922415"
Kabarore_Mugoyi,-2.8690154,29.5758913,"-2.8690154,29.5758913"
